amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
405-1079500-9645143	405-1079500-9645143	2017-07-07T08:51:49+00:00	2017-07-07T18:28:38+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	899.0		25.0					25.0	MUMBAI	MAHARASHTRA	400086	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-3112135-6013109	405-3112135-6013109	2017-07-07T06:10:01+00:00	2017-07-07T11:09:13+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		50.0					50.0	AHMEDABAD	GUJARAT	380006	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
402-7948683-2173134	402-7948683-2173134	2017-07-06T15:36:25+00:00	2017-07-06T23:33:00+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0								VARANASI	UTTAR PRADESH	221010	IN		
404-4578764-4060352	404-4578764-4060352	2017-07-06T12:24:06+00:00	2017-07-07T05:03:15+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	899.0		50.0					50.0	Hyderabad	TELANGANA	500037	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
402-3646708-7146752	402-3646708-7146752	2017-07-06T01:00:10+00:00	2017-07-06T05:57:41+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0								LUCKNOW	UTTAR PRADESH	226028	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
408-6746970-5178752	408-6746970-5178752	2017-07-04T09:59:49+00:00	2017-07-04T12:48:09+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	999.0								NEW DELHI	DELHI	110005	IN		
407-9415094-5399563	407-9415094-5399563	2017-07-03T06:14:06+00:00	2017-07-03T09:49:17+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0		50.0					50.0	JAMNAGAR	GUJARAT	361006	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-7204714-3666701	405-7204714-3666701	2017-07-02T10:13:48+00:00	2017-07-03T12:18:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	KARNAL	HARYANA	132001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-3148613-0494713	405-3148613-0494713	2017-07-02T10:08:47+00:00	2017-07-02T10:12:48+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Cancelled	0										KARNAL	HARYANA	132001	IN		
403-5470618-8761106	403-5470618-8761106	2017-07-01T13:51:26+00:00	2017-07-01T16:33:56+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0		50.0					50.0	HYDERABAD	TELANGANA	500070	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
171-5276395-4433149	171-5276395-4433149	2017-07-01T08:47:52+00:00	2017-07-01T10:26:17+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	THIRUVALLA	KERALA	689101	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	

