amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
402-1693157-7460342	402-1693157-7460342	2017-06-24T20:02:16+00:00	2017-06-25T07:48:37+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								KOLKATA	WEST BENGAL	700047	IN		
408-8438597-4419531	408-8438597-4419531	2017-06-24T10:22:12+00:00	2017-06-24T16:58:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		10.0					10.0	MUMBAI	MAHARASHTRA	400051	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
406-1463628-5322750	406-1463628-5322750	2017-06-23T15:51:14+00:00	2017-06-24T05:12:26+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0								MUMBAI	MAHARASHTRA	400081	IN		
406-6159848-3243520	406-6159848-3243520	2017-06-23T17:19:30+00:00	2017-06-23T23:03:50+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		50.0					50.0	AHMED NAGAR	MAHARASHTRA	414006	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
404-6945634-5733914	404-6945634-5733914	2017-06-23T17:18:17+00:00	2017-06-23T18:48:33+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0						MUMBAI	MAHARASHTRA	400071	IN		
405-7377141-8429903	405-7377141-8429903	2017-06-23T04:03:21+00:00	2017-06-23T07:29:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0								GURUGRAM	HARYANA	122016	IN		
403-3912964-8223505	403-3912964-8223505	2017-06-23T02:14:46+00:00	2017-06-23T05:42:23+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	BHIMAVARAM	ANDHRA PRADESH	534202	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
406-6395198-3976300	406-6395198-3976300	2017-06-22T15:48:39+00:00	2017-06-23T04:47:02+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		8.34					8.34	KATNI	MADHYA PRADESH	483501	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
403-9224539-0907513	403-9224539-0907513	2017-06-22T16:03:17+00:00	2017-06-23T04:38:02+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		25.0					25.0	NAVI MUMBAI	MAHARASHTRA	400703	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
403-1847707-8662753	403-1847707-8662753	2017-06-22T18:42:13+00:00	2017-06-22T20:59:23+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0								Bangalore	Karnataka	560025	IN		
