amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by 
402-0204969-1245961	402-0204969-1245961	2017-08-20T11:40:09+00:00	2017-08-20T11:40:48+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Cancelled	0										RANCHI	JHARKHAND	834001	IN		false			
402-2474212-3336333	402-2474212-3336333	2017-08-20T11:28:50+00:00	2017-08-20T11:29:58+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										RANCHI	JHARKHAND	834001	IN		false			
406-1090031-9283505	406-1090031-9283505	2017-08-20T07:06:31+00:00	2017-08-20T10:07:54+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	RANCHI	JHARKHAND	834001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
405-1520580-7557902	405-1520580-7557902	2017-08-19T09:43:03+00:00	2017-08-20T10:04:30+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Unshipped	1	INR	799.0								KALYAN	MAHARASHTRA	421201	IN		false			
402-9922805-0911510	402-9922805-0911510	2017-08-19T09:57:21+00:00	2017-08-20T09:58:37+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Unshipped	1	INR	799.0								KALYAN	MAHARASHTRA	421201	IN		false			
405-5327022-2115563	405-5327022-2115563	2017-08-19T06:55:32+00:00	2017-08-20T06:56:49+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Unshipped	1	INR	799.0								KALYAN	MAHARASHTRA	421201	IN		false			
402-9215165-5584369	402-9215165-5584369	2017-08-19T16:10:12+00:00	2017-08-19T22:38:05+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	TIRUPATI	ANDHRA PRADESH	517501	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
404-7495437-8341114	404-7495437-8341114	2017-08-19T18:48:54+00:00	2017-08-19T18:49:46+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										RANCHI	JHARKHAND	834002	IN		false			
404-3324542-8423544	404-3324542-8423544	2017-08-19T11:57:45+00:00	2017-08-19T14:48:32+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	RANCHI	JHARKHAND	834001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
405-9839577-5086762	405-9839577-5086762	2017-08-18T20:13:32+00:00	2017-08-19T13:12:57+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								Bhopal	Madhya Pradesh	462016	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
